PARAMETERS
Network: deep_decoder
Loss: mse_l1
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	CNR	SSIM
input_image	N/A	59.2044787182	1.00589203867	0.0912860920243
0	2.27489066124	3.77028176597	0.189227032259	0.0698124021489
500	0.146828219295	31.7440424264	0.250756283322	0.212463844307
1000	0.100557997823	63.9976762304	0.374858648195	0.254696114984
1500	0.0868123471737	92.6705441322	0.516725010347	0.251097680276
2000	0.0800506025553	120.53913141	0.670747362307	0.257004562394
2500	0.0756547227502	147.708385026	0.809586629661	0.268501934574
3000	0.0722850784659	175.151294526	0.929027809766	0.278353665257
3500	0.0693404376507	200.831620463	1.03131709629	0.297590282999
4000	0.0665938109159	234.821162343	1.11272311764	0.305530880673
4500	0.0639603361487	258.220669116	1.19396654949	0.312980708186
5000	0.0613286979496	275.609055394	1.27777361214	0.311867185829
5500	0.0585993491113	293.496058666	1.35922706668	0.318825514762
6000	0.0557340048254	313.542615544	1.46336314312	0.31155091344
6500	0.0527277104557	337.085656713	1.58235315712	0.3132463608
7000	0.0496298931539	366.965573293	1.68682734713	0.33661593438
7500	0.0464564114809	382.374467601	1.742416474	0.336729968104
8000	0.0432864278555	397.871207895	1.79330199357	0.342889691376
8500	0.0401801243424	404.03950702	1.8747282297	0.339456420805
9000	0.0372851900756	408.634582899	1.95904356547	0.341719693232
9500	0.0347404666245	409.589779728	2.02722810841	0.347026239192
10000	0.03262071684	402.807125729	2.04810987282	0.350827313366
