PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
0	125.929664612	0.0121087298758	-0.00425436602136
1000	0.0268019475043	71.6650549721	0.215640786151
2000	0.0147712016478	95.1075694953	0.477593455924
3000	0.00894351024181	88.7728007492	0.680132071118
4000	0.00549979833886	79.0078222571	0.809007640301
5000	0.00334080844186	69.7717735077	0.88830232807
6000	0.00193670089357	62.3490227025	0.939515142524
7000	0.00107093690895	59.2614024222	0.968493686274
8000	0.000416775030317	56.5916759454	0.987293378706
9000	0.000157782822498	54.9853052541	0.995239285457
