PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	54.412243164655365	N/A
0	218.272277832	0.00515169054389	-0.00334862407339
1000	0.756085991859	194.24579847	0.129978909367
2000	0.722222149372	329.371916026	0.113201046519
3000	0.697824954987	438.031644789	0.0761428457427
4000	0.659588038921	603.244637578	0.11848269516
5000	0.625693917274	716.655560117	0.150581448595
6000	0.591494143009	816.359725617	0.0912775763924
7000	0.550554156303	1009.62033191	0.111899760954
8000	0.504827976227	1204.05496167	0.113652693124
9000	0.454898297787	1681.2468002	0.112772163832
