PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	59.4711084801157	N/A
0	150.297576904	0.010769899236	-0.0030439432002
1000	0.739179372787	56.313130135	0.11171445051
2000	0.68631207943	110.411412663	0.139462061878
3000	0.641961753368	191.486831714	0.188883813926
4000	0.601996839046	291.74577969	0.185647808184
5000	0.561365067959	364.211738969	0.229223674629
6000	0.519635379314	424.424391258	0.248676414236
7000	0.475877761841	573.529559298	0.197371389341
8000	0.424382567406	459.086704021	0.308979750716
9000	0.37286695838	1581.92200973	0.0836590529794
