PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	54.8521396762966	N/A
0	88.2452392578	0.0116079661652	-0.00341374609796
1000	0.743263304234	315.247873767	0.0935917674113
2000	0.700488805771	511.511940292	0.094739596294
3000	0.66280657053	860.982846164	0.0983429931338
4000	0.628528833389	1119.87858181	0.0615876497402
5000	0.589635193348	1896.32259452	0.100997134944
6000	0.549666762352	2318.00805548	0.104379747264
7000	0.505466341972	2193.82322758	0.090633771598
8000	0.454779356718	2352.9939966	0.0971296626551
9000	0.39887997508	4632.39312761	0.0574552801994
