PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	59.301456604	N/A
0	468.191467285	0.00577825165743	-0.00126375826275
1000	0.782547652721	37.2388173104	0.134131494461
2000	0.736536681652	73.2789617382	0.171912762239
3000	0.702032744884	131.281060923	0.129763972761
4000	0.673066020012	285.952475735	0.0711713303875
5000	0.632346987724	559.350327685	0.106794687559
6000	0.596591293812	833.649999039	0.112054837757
7000	0.558846473694	1142.10775157	0.118344104907
8000	0.526940643787	1792.91610988	0.0308821486315
9000	0.475620090961	2461.34568065	0.0732241518205
