PARAMETERS
Network: unet
Loss: l1
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 50000

w_h: None
w_v: None
w_mse: None

Iteration	Loss	SNR	CNR	SSIM
input_image	N/A	59.471073112	0.595207314862	0.0881282719513
0	1.30149769783	5.60755429496	0.0228668401355	0.00374492337084
1000	0.637460827827	55977.9176472	0.01547544536	0.000995230522292
2000	0.273987054825	2100.95781581	2.46369818295	0.124306080996
3000	0.186409726739	5728.54810592	2.46053248645	0.417659696477
4000	0.146261408925	3799.13529288	1.79866517017	0.469166017564
5000	0.126685649157	2335.81443977	1.53332352674	0.49113662326
6000	0.11628331244	936.639913777	1.15067160852	0.381158497926
7000	0.1085582003	426.066163722	1.07074450938	0.277301224261
8000	0.100508339703	256.228826112	0.914763521684	0.21302811616
9000	0.0905269384384	172.59842672	0.780993226639	0.167918234823
10000	0.0808240324259	133.60165198	0.758838026051	0.139183917869
11000	0.0718748867512	104.49689725	0.701384431451	0.121241521735
12000	0.0640667974949	89.2908706832	0.669559034699	0.109797124979
13000	0.0582762807608	79.8383007747	0.651205812312	0.102611077588
14000	0.0547943562269	76.8227539067	0.64548071338	0.099582981847
15000	0.0495403259993	70.6257868179	0.621863973162	0.0955938896105
16000	0.0469796136022	69.3283367961	0.627853778906	0.0937817566383
17000	0.045138772577	67.2195533507	0.614509648074	0.0924575208554
18000	0.0418316237628	65.8658619318	0.611740898879	0.0913184355461
19000	0.0411394611001	64.9248001366	0.605262433327	0.0911366923682
20000	0.0400947332382	63.9313028587	0.604917117488	0.0896313041011
21000	0.0385983623564	63.6854856309	0.598686178009	0.0899945796101
22000	0.0404624044895	63.1205952302	0.596112803763	0.0899822226099
23000	0.0375940427184	61.9959258235	0.595507720021	0.0893563808811
24000	0.0359479486942	62.2759193599	0.603055914128	0.0888711856444
25000	0.0408662371337	62.6904562678	0.595885389772	0.0895454625245
26000	0.0348540619016	61.871054138	0.60301729324	0.0888640573103
27000	0.0338823348284	61.0247647493	0.593887964272	0.0882250836381
28000	0.0343594551086	61.9979982257	0.59986219613	0.0887783715877
29000	0.0324644595385	61.0905830849	0.598352797763	0.0876725181839
30000	0.0353481695056	60.9777711934	0.601829132453	0.0879440058806
31000	0.0321029946208	61.3825832646	0.602345392619	0.0879684264566
32000	0.0320501662791	60.8536246269	0.599634023648	0.0874053915688
33000	0.031024992466	59.7665367106	0.595840373049	0.0869809571218
34000	0.0311063993722	59.9926824055	0.598490390687	0.0867138201259
35000	0.0311027131975	59.5992575479	0.595888613768	0.0871637021498
36000	0.0298679228872	59.8488347753	0.597912682823	0.0872863096841
37000	0.0326266884804	60.4753569957	0.59766109669	0.0873775430709
38000	0.0295603815466	60.2526852126	0.593138863799	0.0874225231654
39000	0.0291415080428	60.0715961354	0.591884329995	0.0872166178707
40000	0.0311715230346	60.0868968422	0.599732667903	0.0871460119027
41000	0.028305048123	60.073737385	0.596503194571	0.0869355324952
42000	0.0304662436247	60.1185178211	0.596038784021	0.0873512704887
43000	0.0284071192145	60.0445079262	0.600924611708	0.0872437149261
44000	0.0276845917106	60.0191790716	0.596409473034	0.0872918394814
45000	0.0273478701711	59.6285834085	0.597542903724	0.0870290952742
46000	0.0270033422858	60.3460744828	0.594636083701	0.087239856954
47000	0.0268317312002	59.0378683462	0.590410248985	0.0867918648161
48000	0.0266104228795	60.0769888661	0.594964282393	0.0875097508603
49000	0.0267479605973	59.4697031676	0.599565823433	0.0869954540718
50000	0.0263473168015	59.0766334487	0.595776313979	0.0867821706532
