PARAMETERS
Network: unet
Loss: mse_with_edge_reg
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 50000

w_h: 1e-06
w_v: 1e-06
w_mse: 10.0

Iteration	Loss	SNR	CNR	SSIM
input_image	N/A	53.664802229	1.94882491288	0.0699389908164
0	3.56033563614	5.37470700446	0.0117305094841	0.0046499078627
1000	2.05128955841	16708675.0269	2.69755419447e-30	8.23664737978e-07
2000	1.93146514893	33925759.6197	0.00435085755737	2.61634419266e-05
3000	0.575063884258	288136.613754	7.31159022381	0.116828452536
4000	0.494985163212	428243.916894	8.20566144986	0.0993758230487
5000	0.410914719105	696.60893957	6.19666186066	0.206763621075
6000	0.300073176622	5800.17942868	11.142231722	0.35036203098
7000	0.260469675064	5687.55772633	11.0271845772	0.366633259397
8000	0.234909266233	5590.69200249	11.0298494979	0.364518355167
9000	0.217987060547	5111.43927954	11.4535277274	0.378443736201
10000	0.207908079028	5619.11182965	11.7307971809	0.370210283186
11000	0.294990807772	197375.538753	0.363018460443	0.077182883828
12000	0.27460950613	479.914529597	4.95758281486	0.192692907431
13000	0.206625595689	4964.57316684	13.2804616116	0.327096312233
14000	0.20444265008	3906.56624348	10.1424963533	0.329256203141
15000	0.200785502791	3888.98609128	12.2056350022	0.340157822754
16000	0.197918951511	4243.60396348	11.4031304918	0.360609352007
17000	0.19566270709	4685.25093163	11.6829659929	0.376961731087
18000	0.193899214268	4451.78599306	11.6432090071	0.380880935918
19000	0.192523315549	4354.53108839	11.5480812123	0.37981137565
20000	0.261811971664	721.414005152	5.46328190473	0.279882142106
21000	0.257529854774	1572.24338541	8.47694711348	0.273062516585
22000	0.255766540766	2921.99524974	10.1901156522	0.280021882154
23000	0.2657315135	1199.60864764	8.96279228726	0.126474652035
24000	0.197170004249	4463.61609876	10.9758228199	0.33642163023
25000	0.193542569876	4193.58226198	9.55993873966	0.345280796324
26000	0.192299261689	4199.65875008	10.9082420979	0.349061784804
27000	0.19105784595	4094.67238272	11.4038935056	0.357899212013
28000	0.2076703161	4622.79159781	20.0347231174	0.175656970802
29000	0.201413020492	3239.62350448	17.2364741905	0.187019021575
30000	0.199334278703	3308.22635854	18.5614477578	0.200847204108
31000	0.191876232624	3773.08694793	9.94473309158	0.350898045822
32000	0.190505519509	4371.84273679	10.8044688137	0.350428733434
33000	0.189479202032	4208.18839639	11.0453898998	0.36844566154
34000	0.191775381565	6080.26617584	11.7331661996	0.354556523653
35000	0.189658597112	4960.41335829	10.9139345054	0.367178027735
36000	0.188908606768	4441.03843476	10.9658483406	0.368379064351
37000	0.265563070774	1717.37815986	3.97239686208	0.0997557353714
38000	0.191412836313	4912.19583393	11.4537720923	0.349428309285
39000	0.18963432312	4711.98935493	12.0632509784	0.37209734707
40000	0.189122483134	4929.67486956	12.4902324671	0.37675084423
41000	0.188411355019	4761.26185481	11.4002150679	0.373425728412
42000	0.188070476055	4431.09947586	11.333694419	0.370994179285
43000	0.188360229135	4376.57165993	10.3950332124	0.380404747817
44000	0.208024501801	2438.71447622	14.8673258446	0.22622002802
45000	0.188760459423	4510.67453619	10.367908666	0.361776153599
46000	0.18792963028	4394.30201471	10.9704320102	0.368259052313
47000	0.187470719218	4538.76011937	11.4959390844	0.367366500878
48000	0.188803806901	4458.20491756	10.5303660165	0.353641564631
49000	0.18751321733	4535.74960437	11.2406186184	0.373447313878
50000	0.187079280615	4665.72920682	11.1937037979	0.373872061365
