PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	66.67293137233838	N/A
0	87.0996246338	0.0131811449048	-0.00568549503033
1000	0.736799418926	173.746684063	0.0843827445456
2000	0.689003169537	396.990694818	0.12462096559
3000	0.660008192062	786.225534219	0.059463316502
4000	0.61427795887	1339.07919474	0.0891209829226
5000	0.574484288692	1692.27599991	0.106218942705
6000	0.530873596668	2103.06018201	0.0976755742928
7000	0.480769276619	2096.29577372	0.112172211585
8000	0.424569785595	2260.0405908	0.113493759469
9000	0.360601335764	1976.13268854	0.124563754543
