PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	52.984375325372184	N/A
0	567.803161621	0.00493919014043	-0.00142737208024
1000	0.802425205708	22.7089075514	0.106127861471
2000	0.744734823704	47.1500482065	0.158983273785
3000	0.707075953484	83.3582399947	0.216092145114
4000	0.67646664381	121.190711219	0.186745450992
5000	0.643286764622	160.410148755	0.23115429444
6000	0.610989689827	197.865291178	0.221141853949
7000	0.584943234921	314.695405207	0.0945801889017
8000	0.537398457527	428.648006547	0.153898655296
9000	0.495080053806	544.978800036	0.15746146261
