PARAMETERS
Network: unet
Loss: mse
Optimizer: adam
Learning rate: 0.0001
Number of iterations: 10000

Iteration	Loss	SNR	SSIM
input_image	N/A	53.7891022324	N/A
0	104.151268005	0.0126526729679	0.0054930475095
1000	0.743546068668	102.340122923	0.123254771342
2000	0.690018832684	279.153411664	0.124291451402
3000	0.648115694523	457.741045766	0.152994465358
4000	0.610270738602	800.15121874	0.0901788620587
5000	0.570034563541	995.796361687	0.121003565666
6000	0.528334081173	1167.67754128	0.142264895688
7000	0.484929919243	2393.12557381	0.0856240951033
8000	0.442433059216	2383.34200282	0.0330861436661
9000	0.37814489007	3020.22904058	0.0821718657543
10000	0.316099107265	3010.3202702	0.0949958768635
